Id,eng,ara
26290, Exhibited, معروض
26291, Exhibiting, العرض
26292, Exhibition, المعرض
26293, Exhibitioner, متلقّي الإعانة
26294, Exhibitionists, المتباهون
26295, Exhibitions, المعارض
26296, Exhibitive, الممثّل
26297, Exhibitor, العارض
26298, Exhibitors, العارضون
26299, Exhibits, المعروضات
26300, Exhilarate, أبهج
26301, Exhilarated, مبهج
26302, Exhilarates, يبهج
26303, Exhilarating, الإبهاج
26304, Exhilaratingly, بشكل مبهج
26305, Exhilaration, الإبتهاج
26306, Exhilarative, إبتهاجي
26307, Exhort, حثّ
26308, Exhortation, الحثّ
26309, Exhortations, الحثّ
26310, Exhorted, محثوث
26311, Exhorter, الحاثّ
26312, Exhorting, الحثّ
26313, Exhorts, يحثّ
26314, Exhumation, النبش
26315, Exhumations, النبش
26316, Exhume, إنبش
26317, Exhumed, منبوش
26318, Exhumer, نبّاش القبور
26319, Exhumes, ينبش
26320, Exhuming, النبش
26321, Exigencies, الضرورات
26322, Exigency, الضرورة
26323, Exigent, ملحّ
26324, Exigently, بشكل ملحّ
26325, Exiguity, القلة
26326, Exile, المنفى
26327, Exiled, منفي
26328, Exiles, المنفيون
26329, Exiling, النفي
26330, Exist, جد
26331, Existed, موجود
26332, Existence, الوجود
26333, Existences, الوجود
26334, Existent, موجود
26335, Existential, وجودي
26336, Existentialism, الوجودية
26337, Existentialist, الوجودي
26338, Existentialists, الوجوديون
26339, Existentially, بشكل وجودي
26340, Existing, الإيجاد
26341, Exists, يجد
26342, Exit, الخروج
26343, Exited, خارج
26344, Exiting, الخروج
26345, Exits, المخارج
26346, Exodus, النزوح الجماعي
26347, Exogamous, تحريمي
26348, Exogamy, الزواج من خارج العشيرة
26349, Exogenous, خارجي
26350, Exogenously, بشكل خارجي
26351, Exonerate, برّئ
26352, Exonerated, مبرّأ
26353, Exonerates, يبرّئ
26354, Exonerating, التبرئة
26355, Exoneration, التبرئة
26356, Exonerative, تبريئي
26357, Exorbitant, باهظ
26358, Exorbitantly, بفداحة
26359, Exorcise, طهّر
26360, Exorciser, الطّارد
26361, Exorcism, طرد الأرواح
26362, Exorcist, التعويذي
26363, Exorcists, التعويذيون
26364, Exorcize, طهّر
26365, Exorcized, مطهّر
26366, Exorcizes, يطهّر
26367, Exorcizing, التطهير
26368, Exoskeleton, الهيكل الخارجيّ
26369, Exoskeletons, الهياكل الخارجيّة
26370, Exothermic, الحرارة الخارجية
26371, Exotic, الغريب
26372, Exotica, الغرابة
26373, Exoticness, الغرابة
26374, Exp, إكسب
26375, Expand, توسّع
26376, Expandability, التوسّع
26377, Expandable, متمدّد
26378, Expanded, موسّع
26379, Expander, المتوسّع
26380, Expanders, المتوسّعون
26381, Expanding, التوسّع
26382, Expands, يتوسّع
26383, Expanse, الفسحة
26384, Expanses, الفسحة
26385, Expansibility, التوسّع
26386, Expansible, متوسّع
26387, Expansion, التوسّع
26388, Expansionism, التوسّعية
26389, Expansionist, التوسّعي
26390, Expansions, التوسّعات
26391, Expansive, توسّعي
26392, Expansively, بشكل واسع
26393, Expansiveness, التوسّع
26394, Expatiate, طف
26395, Expatiated, مطاف
26396, Expatiates, يطوف
26397, Expatiating, الطوف
26398, Expatriate, المغترب
26399, Expatriated, متغرّب
26400, Expatriating, التغريب
26401, Expatriations, الإغتراب
26402, Expect, توقّع
26403, Expectable, متوقّع
26404, Expectancies, التوقّعات
26405, Expectancy, التوقّع
26406, Expectant, متوقع
26407, Expectantly, بإنتظار
26408, Expectation, التوقّع
26409, Expectations, التوقّعات
26410, Expected, متوقّع
26411, Expectedly, بشكل متوقّع
26412, Expectedness, التّوقّع
26413, Expecting, التوقّع
26414, Expectingly, بشكل متوقّع
26415, Expectorant, مقشّع
26416, Expectorate, إبصق
26417, Expectoration, البصاق
26418, Expects, يتوقّع
26419, Expedience, الذرائع
26420, Expediency, الذريعة
26421, Expedient, الوسيلة
26422, Expediently, بشكل مناسب
26423, Expedite, عاجل
26424, Expedited, معجّل
26425, Expediter, عاجل
26426, Expedites, يعجّل
26427, Expediting, التعجيل
26428, Expedition, البعثة
26429, Expeditions, البعثات
26430, Expeditious, عاجل
26431, Expeditiously, بشكل عاجل
26432, Expeditiousness, السرعة
26433, Expel, إطرد
26434, Expellable, قابل للطرد
26435, Expelled, مطرود
26436, Expelling, الطرد
26437, Expels, يطرد
26438, Expend, أنفق
26439, Expendable, قابل للإستهلاك
26440, Expended, منفق
26441, Expender, المنفق
26442, Expending, الإنفاق
26443, Expenditure, الإنفاق
26444, Expenditures, الإنفاق
26445, Expends, ينفق
26446, Expense, النفقة
26447, Expensed, ألزم بالنّفقات
26448, Expenses, النفقات
26449, Expensing, إلزام بالنّفقات
26450, Expensive, غالي
26451, Expensively, بشكل مكلّف
26452, Expensiveness, الغلاء
26453, Experience, التجربة
26454, Experienced, مجرّب
26455, Experiences, التجارب
26456, Experiencing, المواجهة
26457, Experiential, تجريبي
26458, Experientially, بشكل تجريبي
26459, Experiment, التجربة
26460, Experimental, تجريبي
26461, Experimentalism, التجريبية
26462, Experimentalist, التجريبي
26463, Experimentalists, التجريبيون
26464, Experimentally, بشكل تجريبي
26465, Experimentation, التجريب
26466, Experimentations, التجريب
26467, Experimented, مجرّب
26468, Experimenter, المجرب
26469, Experimenters, المجربون
26470, Experimenting, التجريب
26471, Experiments, التجارب
26472, Expert, الخبير
26473, Expertise, الخبرة
26474, `eng`, `ara` VALUE
26475, Expertly, بشكل محترف
26476, Expertness, الخبرة
26477, Experts, الخبراء
26478, Expession, إكسبيشن
26479, Expiable, يكفّر عنه
26480, Expiate, كفّر عنه
26481, Expiated, مكفّر عن
26482, Expiates, يكفّر عنه
26483, Expiating, التكفير عن
26484, Expiation, التكفير
26485, Expiatory, تكفيري
26486, Expiration, الإنتهاء
26487, Expirations, الإنتهاء
26488, Expire, إنته
26489, Expired, منتهى
26490, Expires, ينتهي
26491, Expiring, الإنتهاء
26492, Expiry, الإنتهاء
26493, Explain, وضّح
26494, Explainable, قابل للتوضيح
26495, Explained, موضّح
26496, Explainer, المفسّر
26497, Explainers, المفسّرون
26498, Explaining, التوضيح
26499, Explains, يوضّح
26500, Explanation, التفسير
26501, Explanations, التفسيرات
26502, Explanatory, توضيحي
26503, Expletive, الشتيمة
26504, Expletives, الشتائم
26505, Explicable, قابل للتوضيح
26506, Explicably, بشكل قابل للتوضيح
26507, Explicate, وضّح
26508, Explicated, موضّح
26509, Explicates, يوضّح
26510, Explicating, التوضيح
26511, Explication, التوضيح
26512, Explications, التوضيحات
26513, Explicative, توضيحي
26514, Explicatively, بشكل توضيحي
26515, Explicit, واضح
26516, Explicitly, بشكل واضح
26517, Explicitness, الوضوح
26518, Explode, إنفجر
26519, Exploded, منفجر
26520, Exploder, المتفجّر
26521, Explodes, ينفجر
26522, Exploding, الإنفجار
26523, Exploit, المأثرة
26524, Exploitable, قابل للاستغلال
26525, Exploitation, الإستغلال
26526, Exploitations, الإستغلال
26527, Exploited, مستغلّ
26528, Exploiter, المستغلّ
26529, Exploiters, المستغلّون
26530, Exploiting, الإستغلال
26531, Exploitive, إستغلالي
26532, Exploits, المآثر
26533, Exploration, الإستكشاف
26534, Explorations, الإستكشافات
26535, Exploratory, إستطلاعي
26536, Explore, إستكشف
26537, Explored, مستكشف
26538, Explorer, المستكشف
26539, Explorers, المستكشفون
26540, Explores, يستكشف
26541, Exploring, الإستكشاف
26542, Explosion, الإنفجار
26543, Explosions, الإنفجارات
26544, Explosive, المادّة المتفجّرة
26545, Explosively, بشكل إنفجاري
26546, Explosiveness, الإنفجارية
26547, Explosives, المتفجرات
26548, Exponent, الداعية
26549, Exponential, أسّي
26550, Exponentially, تصاعديا
26551, Exponentiation, التّرقية
26552, Exponentiations, التّرقيات
26553, Exponents, الدعاة
26554, Export, التصدير
26555, Exportation, التصدير
26556, Exportations, الصادرات
26557, Exported, مصدّر
26558, Exporter, المصدّر
26559, Exporters, المصدّرون
26560, Exporting, التصدير
26561, Exports, الصادرات
26562, Expose, عرّض
26563, Exposed, مكشوف
26564, Exposer, الفاضح
26565, Exposers, الفاضحون
26566, Exposes, يعرّض
26567, Exposing, التعريض
26568, Exposit, إشرح
26569, Exposition, الشرح
26570, Expositions, الشروحات
26571, Expositor, المفسّر
26572, Expository, تفسيري
26573, Expostulated, مجادل
26574, Exposure, التعرّض
26575, Exposures, التعرّض
26576, Expound, إشرح
26577, Expounded, مشروح
26578, Expounder, الشارح
26579, Expounding, الشرح
26580, Expounds, يشرح
26581, Express, السريع
26582, Expressed, مظهر
26583, Expresser, سريع
26584, Expresses, السريعون
26585, Expressible, قابل للتعبير
26586, Expressibly, بتعبير
26587, Expressing, الإبداء
26588, Expression, التعبير
26589, Expressionism, التعبيرية
26590, Expressionist, التعبيري
26591, Expressionistic, تعبيري
26592, Expressionists, التعبيريون
26593, Expressionless, غير معبّر
26594, Expressionlessly, بشكل غير معبّر
26595, Expressionlessness, اللا تعبيري
26596, Expressions, التعابير
26597, Expressive, معبّر
26598, Expressively, بشكل معبّر
26599, Expressiveness, التعبير
26600, Expressly, بشكل واضح
26601, Expressway, الطريق السريع
26602, Expressways, الطرق السريعة
26603, Expropriate, صادر
26604, Expropriated, مصادر
26605, Expropriates, يصادر
26606, Expropriating, المصادرة
26607, Expropriation, نزع الملكية
26608, Expropriations, نزع الملكيات
26609, Expulsion, الطرد
26610, Expunge, إحذف
26611, Expunged, محذوف
26612, Expunger, إكسبانجير
26613, Expunges, يحذف
26614, Expunging, الحذف
26615, Expurgate, حرّر
26616, Expurgated, محرّر
26617, Expurgates, يحرّر
26618, Expurgating, التحرير
26619, Expurgation, التنقيح
26620, Exquisite, المتأنّق
26621, Exquisitely, بشكل رائع
26622, Exquisiteness, الروعة
26623, Extant, موجود
26624, Extemporaneous, إرتجالي
26625, Extemporaneously, بشكل إرتجالي
26626, Extemporaneousness, الإرتجال
26627, Extempore, بشكل إرتجالي
26628, Extemporize, إرتجل
26629, Extemporized, مرتجل
26630, Extemporizer, المرتجل
26631, Extemporizers, المرتجلون
26632, Extemporizes, يرتجل
26633, Extemporizing, الإرتجال
26634, Extend, مدّد
26635, Extended, ممتد
26636, Extendedly, بشكل ممتد
26637, Extendedness, التمديد
26638, Extender, الممدّد
26639, Extendible, متمدّد
26640, Extending, التمديد
26641, Extends, يمدّد
26642, Extensibilities, القابلية للتمديد
26643, Extensibility, التمدّد
26644, Extensible, قابل للإمتداد
26645, Extension, الإمتداد
26646, Extensional, تفرعي، توسّعي
26647, Extensionally, تفرعيا، توسعيا
26648, Extensions, الإمتدادات
26649, Extensive, شامل
26650, Extensively, على نطاق واسع
26651, Extensiveness, الشمولية
26652, Extensor, العضلة الباسطة
26653, Extent, المدى
26654, Extents, المديات
26655, Extenuate, خفّف
26656, Extenuated, مخفّف
26657, Extenuates, يخفّف
26658, Extenuating, التخفيف
26659, Extenuation, التخفيف
26660, Extenuations, التخفيف
26661, Exterior, الخارج
26662, Exteriorly, بشكل خارجي
26663, Exteriors, الخارجيات
26664, Exterminate, أبد
26665, Exterminated, مباد
26666, Exterminates, يبيد
26667, Exterminating, الإبادة
26668, Extermination, الإبادة
26669, Exterminations, الإبادة
26670, Exterminator, المبيد
26671, Exterminators, المبيدات
26672, Extern, خارجي
26673, External, خارجي
26674, Externalities, الخارجيات
26675, Externalization, التبرير بوجود عوامل خارجية
26676, Externalizations, التبرير بوجود عوامل خارجية
26677, Externally, خارجيا
26678, Externals, الظواهر
26679, ExtEvents, أحداث
26680, Extinct, منقرض
26681, Extinction, الإنقراض
26682, Extinctions, الإنقراض
26683, Extinctive, إنقراضي
26684, Extinguish, أطفأ
26685, Extinguished, مطفأ
26686, Extinguisher, المطفأة
26687, Extinguishers, المطافئ
26688, Extinguishes, يطفئ
26689, Extinguishing, الإطفاء
26690, Extirpate, إستأصل
26691, Extirpated, مستأصل
26692, Extirpates, يستأصل
26693, Extirpating, الإستئصال
26694, Extirpation, الإستئصال
26695, Extirpations, الإستئصال
26696, Extirpative, إجتثاثي من يجتث
26697, Extol, مجّد
26698, Extolled, ممجّد
26699, Extoller, الممجّد
26700, Extolling, المدح
26701, Extols, يمجّد
26702, Extorsively, بانتزاع، بابتزاز
26703, Extort, إبتزّ
26704, Extorted, مبتزّ
26705, Extorter, المبتزّ
26706, Extorting, الإبتزاز
26707, Extortion, الإبتزاز
26708, Extortioner, الإبتزازي
26709, Extortioners, الإبتزازيون
26710, Extortionist, المبتز، المنتزع
26711, Extortionists, المبتزون، المنتزعون
26712, Extortions, الإبتزازات
26713, Extortive, إبتزازي
26714, Extorts, يبتزّ
26715, Extra, إضافي
26716, Extra-pay, الأجر الإضافي
26717, Extracellular, خارج الخلية
26718, Extracellularly, بشكل خارج الخلية
26719, Extracs, إكستراس
26720, Extract, المقتطف
26721, Extracted, منتزع
26722, Extracting, الإنتزاع
26723, Extraction, الإنتزاع
26724, Extractions, الأصول
26725, Extractive, إستخلاصي
26726, Extractively, بشكل إستخلاصي
26727, Extractor, النازع
26728, Extractors, النازعون
26729, Extracts, المقتطفات
26730, Extracurricular, لا مدرسي
26731, Extraditable, عرضة للتسليم
26732, Extradite, سلّم
26733, Extradited, مسلّم
26734, Extradites, يسلّم
26735, Extraditing, التسليم
26736, Extradition, التسليم
26737, Extralegal, غير مقنن
26738, Extralegally, بلا قانونية
26739, Extralinguistic, خارج نطاق اللغة
26740, Extramarital, خارج العلاقة الزّوجيّة
26741, Extramural, خارج حدود التنظيم
26742, Extraneous, غريب
26743, Extraneously, بشكل غريب
26744, Extraneousness, الغرابة
26745, Extraordinarily, بشكل غير عادي
26746, Extraordinariness, الروعة
26747, Extraordinary, إستثنائي
26748, Extrapolate, إستنبط
26749, Extrapolated, مستنبط
26750, Extrapolates, يستنبط
26751, Extrapolating, الإستنباط
26752, Extrapolation, الإستنباط
26753, Extrapolations, الإستنباط
26754, Extrapolative, إستقرائي
26755, Extras, الإضافيات
26756, Extraterrestrial, أحد المخلوقات العليا
26757, Extravagance, التبذير
26758, Extravagances, التبذير
26759, Extravagant, مفرط
26760, Extravagantly, بإسراف
26761, Extravaganza, الروعة
26762, Extravaganzas, الروعة
26763, Extrema, القمم أو القيعان لناتج عملية رياضية
26764, Extreme, النهاية
26765, Extremely, جدا
26766, Extremeness, التطرّف
26767, Extremer, متطرّف
26768, Extremes, النهايات
26769, Extremest, متطرّف
26770, Extremis, في الظّروف الشّديدة
26771, Extremism, التطرّفية
26772, Extremist, المتطرّف
26773, Extremists, المتطرّفون
26774, Extremities, الحدود القصوى
26775, Extremity, الحدّ الأقصى
26776, Extremum, القمّة أو القاع لناتج عملية رياضية
26777, Extricable, قابل للتخليص
26778, Extricate, خلّص
26779, Extricated, مخلّص
26780, Extricates, يخلّص
26781, Extricating, التخليص
26782, Extrication, التخليص
26783, Extrinsic, عرضي
26784, Extrinsical, بلا إنتماء
26785, Extroversion, الإهتمام  بإرضاء الاخرين
26786, Extrovert, المنفتح
26787, Extroverted, منفتح
26788, Extroverts, المنفتحون
26789, Extrude, إقذف
26790, Extruded, مقذوف
26791, Extruder, الطارد
26792, Extrudes, يقذف
26793, Extruding, القذف
26794, Extrusion, النتوء
26795, Extrusive, طردي
26796, Exuberance, الغزارة
26797, Exuberances, الغزارة
26798, Exuberant, غزير
26799, Exuberantly, بشكل غزير
26800, Exudate, الإفرازات الجسمية
26801, Exudation, الإفراز
26802, Exude, إنضح
26803, Exuded, ناضح
26804, Exudes, ينضح
26805, Exuding, النضوح
26806, Exult, إغتبط
26807, Exultant, مبتهج
26808, Exultantly, بشكل مبتهج
26809, Exultation, الإغتباط
26810, Exulted, مغتبط
26811, Exulting, الإغتباط
26812, Exultingly, ببهجة
26813, Exults, يغتبط
26814, Exxon, إكسون
26815, Exzess, إكسزيس
26816, Eye, العين
26817, Eyeball, مقلة العين
26818, Eyeballed, ييباليد
26819, Eyeballing, ييبالينج
26820, Eyeballs, مقل العيون
26821, Eyebolt, ييبولت
26822, Eyebright, ييبرايت
26823, Eyebrow, الحاجب
26824, Eyebrows, الحواجب
26825, Eyed, مراقب
26826, Eyedness, ييدنيس
26827, Eyeful, العين
26828, Eyeglass, ييجلاس
26829, Eyeglasses, النظّارات
26830, Eyeing, المراقبة
26831, Eyelash, الرمش
26832, Eyelashes, الرموش
26833, Eyeless, بلا عيون
26834, Eyelet, الثقب
26835, Eyelets, الثقوب
26836, Eyelid, الجفن
26837, Eyelids, الجفون
26838, Eyepencil, ييبينسيل
26839, Eyepiece, العدسة
26840, Eyepieces, العدسات
26841, Eyer, يير
26842, Eyers, ييرس
26843, Eyes, العيون
26844, Eyesight, النظر
26845, Eyesore, القذى
26846, Eyesores, ييسوريس
26847, Eyestrain, حسور العين
26848, Eyeteeth, ييتيث
26849, Eyewash, غسل العين
26850, Eyewitness, شاهد العيان
26851, Eyewitnesses, شهود العيان
26852, Eying, المراقبة
26853, Ezekiel, حزقيال
26854, Ezra, عزرا
26855, F, اف - الحرف السادس في اللغة الإنجليزية
26856, FAA, مكتب الطّيران الفدرالي
26857, Faber, فيبر
26858, Fabian, فابي
26859, Fable, الخرافة
26860, Fabled, إسطوري
26861, Fabler, كاتب القصّة الرّمزيّة
26862, Fables, الخرافات
26863, Fabling, التأليف الرمزي
26864, Fabric, النسيج
26865, Fabricate, إصنع
26866, Fabricated, مصطنع
26867, Fabricates, يصنع
26868, Fabricating, الصناعة
26869, Fabrication, التلفيق
26870, Fabrications, الإفتراءات
26871, Fabricator, المفتري
26872, Fabrics, الأنسجة
26873, Fabulous, رائع
26874, Fabulously, بشكل رائع
26875, Fabulousness, الروعة
26876, Facade, الواجهة
26877, Facades, الواجهات
26878, Face, الوجه
26879, Faced, ووجه
26880, Faceless, مجهول
26881, Facelessness, الجهل
26882, Faceplate, غطاء حماية
26883, Facer, الصفعة
26884, Faces, الوجوه
26885, Facet, المظهر
26886, Faceted, منحوت
26887, Faceting, النّحت
26888, Facetious, طريف
26889, Facetiously, بشكل طريف
26890, Facetiousness, الطرافة
26891, Facets, المظاهر
26892, Facial, تجميل الوجه
26893, Facially, وجهيا
26894, Facile, سهل
26895, Facilely, بشكل سهل
26896, Facileness, سهولة الإنجاز
26897, Facilitate, سهّل
26898, Facilitated, مسهّل
26899, Facilitates, يسهّل
26900, Facilitating, التسهيل
26901, Facilitation, التسهيل
26902, Facilitative, تسهيلي
26903, Facilitators, المسهلات
26904, Facilitatory, الوساطة
26905, Facilities, الوسائل
26906, Facility, الوسيلة
26907, Facing, المواجهة
26908, Facings, الأغطية
26909, FACSIMILE, النسخة
26910, Facsimiles, النسخ
26911, Fact, الحقيقة
26912, Faction, الفئة
26913, Factional, فئوي
26914, Factionalism, الفئوية
26915, Factions, الفئات
26916, Factious, فئوي
26917, Factiously, بشكل فئوي
26918, Factiousness, الفئوية
26919, Factitiously, بشكل مصطنع
26920, Facto, فاكتو
26921, Factor, العامل
26922, Factored, محلّل
26923, Factorial, المضروب
26924, Factories, المصانع
26925, Factoring, بيع الديون
26926, Factorings, بيع الديون
26927, Factorization, التحليل للعوامل
26928, Factorizations, التحليل للعوامل
26929, Factors, العوامل
26930, Factory, المصنع
26931, Factotum, الخادم
26932, Facts, الحقائق
26933, Factual, واقعي
26934, Factuality, الحقيقية
26935, Factually, بشكل واقعي
26936, Factualness, الواقعيّة
26937, Facultative, إختياري
26938, Faculties, الكليّات
26939, Faculty, الكليّة
26940, Fad, البدعة
26941, Faddists, الإبتداعيون
26942, Fade, إبهت
26943, Faded, مبهوت
26944, Fadedly, بتضاءل
26945, Fadeout, الاختفاء التّدريجيّ
26946, Fader, ترويسة
26947, Faders, المخفون تدريجياً
26948, Fades, يبهت
26949, Fading, البهت
26950, Fadings, الإبتعاد، التضاؤلات
26951, Fads, البدع
26952, Faecal, برازي
26953, Faeces, الغائط
26954, Faerie, الجن
26955, Faery, الجن
26956, Fafnir, فافنر - تنّين
26957, Fag, الفقير
26958, Fagged, كادح
26959, Fagging, الكدح
26960, Faggot, حزمة الحطب
26961, Faggots, حزم الحطب
26962, Fagin, شخصية اليهودي في رواية \\أوليفر تويست\\
26963, Fagot, الحزمة
26964, Fagots, الحزم
26965, Fags, الفقراء
26966, Fahey, فاهي
26967, Fahrenheit, الدرجة الفهرنهايتية
26968, Fahrenheits, الدرجة الفهرنهايتية
26969, Fail, الفشل
26970, Failed, فاشل
26971, Failing, العيب
26972, Failingly, بشكل فاشل
26973, Failings, العيوب
26974, Fails, التقصيرات
26975, Failsafe, الضمان
26976, Failure, الفشل
26977, Failure-free, خالي من فشل
26978, Failures, حالات الفشل
26979, Fain, مسرور
26980, Faint, الإغماء
26981, Fainted, مغيب عن الوعي
26982, Fainter, أضعف
26983, Faintest, أضعف
26984, Faintheart, الجبان
26985, Fainthearted, جبان
26986, Faintheartedly, بجبن
26987, Faintheartedness, الجبن
26988, Fainting, الإغماء
26989, Faintly, بضعف
26990, Faintness, الضعف
26991, Faints, النحيلون
26992, Fair, المعرض
26993, Fair-minded, عادل
26994, Fairbanks, فيربانكس
26995, Fairchild, فيرتشايلد
26996, Faire, فير
26997, Faired, فيريد
26998, Fairer, أعدل
26999, Fairest, أعدل
27000, Fairfax, فيرفاكس
27001, Fairfield, فيرفيلد
27002, Fairground, ساحة الألعاب
27003, Fairgrounds, ساحات الألعاب
27004, Fairies, الجنّيات
27005, Fairing, هديّة
27006, Fairish, تقريبا معرض
27007, Fairly, بانصاف
27008, Fairmont, فيرمونت
27009, Fairness, الإنصاف
27010, Fairport, فيربورت
27011, Fairs, المعارض
27012, Fairview, فيرفيو
27013, Fairway, الممرّ السّالك
27014, Fairways, الممرات السالكة
27015, Fairy, الجنيّة
27016, Fairy-tale, قصّة الحواري
27017, Fairyland, دنيا الخيال
27018, Fairylike, حوري
27019, Faith, الإيمان
27020, Faithful, مخلص
27021, Faithfully, بإخلاص
27022, Faithfulness, الإخلاص
27023, Faithfuls, المؤمنون
27024, Faithless, كافر
27025, Faithlessly, بشكل كافر
27026, Faithlessness, الجحود
27027, Faiths, المعتقدات
27028, Fake, مزيف
27029, Faked, مزيّف
27030, Faker, الملفّق
27031, Fakers, الملفّقون
27032, Fakery, التّزييف
27033, Fakes, المزيّفون
27034, Faking, التزييف
27035, Fakir, الفقير
27036, Fakirs, الفقراء
27037, Falafel, الفلافل
27038, Falcon, الصقر
27039, Falconer, صياد الصقور
27040, Falconers, صيادي الصقور
27041, Falconry, صيد الصقور
27042, Falcons, الصقور
27043, Falk, فالك
27044, Fall, السقوط
27045, Fallacies, المغالطات
27046, Fallacious, باطل
27047, Fallaciously, بشكل باطل
27048, Fallaciousness, التّضليل
27049, Fallacy, المغالطة
27050, Fallback, الإحتياطي
27051, Fallen, ساقط
27052, Faller, الساقط
27053, Fallibility, قابلية الخطأ
27054, Fallible, غير معصوم
27055, Fallibleness, العرضة لإرتكاب الأخطاء
27056, Fallibly, بتعرّض للخطر
27057, Falling, السقوط
27058, Falloff, النّقص
27059, Fallout, النتيجة العرضية
27060, Fallouts, النتائج العرضية
27061, Fallow, الأرض المحروثة
27062, Fallowness, ترك الأرض بعد حرثها
27063, Falls, الإنهيارات
27064, Falmouth, فالماوث
27065, False, خاطئ
27066, Falsehood, البطلان
27067, Falsehoods, البطلان
27068, Falsely, بشكل خاطئ
27069, Falseness, الزور
27070, Falser, خاطئ
27071, Falsest, خاطئ
27072, Falsetto, صوت عالي الطبقة
27073, Falsification, التزييف
27074, Falsifications, التزييف
27075, Falsified, مزيّف
27076, Falsifier, المزيّف
27077, Falsifiers, المزيّفون
27078, Falsifies, يزيّف
27079, Falsify, زيّف
27080, Falsifying, التزييف
27081, Falsities, التزييف
27082, Falsity, الزيف
27083, Falstaff, فالستاف - شخصيّة ماجنة في مسرحيّات شكسبير
27084, Falter, تعثّر
27085, Faltered, تعثّر
27086, Falterer, فالترير
27087, Faltering, التعثّر
27088, Falteringly, بتردّد
27089, Falters, يتعثّر
27090, Fame, الشهرة
27091, Famed, مشهور
27092, Fameless, مغمور
27093, Fames, الشهرةشهرة
27094, Familial, عائلي
27095, Familiar, مألوف
27096, Familiarities, التآلفات
27097, Familiarity, الألفة
27098, Familiarization, التآلف
27099, Familiarizations, التآلف
27100, Familiarize, لف
27101, Familiarized, مألوف
27102, Familiarizer, المعرّف
27103, Familiarizes, يآلف
27104, Familiarizing, المؤالفة
27105, Familiarly, بطريقة حميمة
27106, Familiarness, المعرفة
27107, Familiars, الرّفاق، الأصدقاء
27108, Families, العوائل
27109, Familism, عقيدة المللة \\فاميلي\\
27110, Familiy, فاملي
27111, Family, العائلة
27112, Famine, المجاعة
27113, Famines, المجاعات
27114, Faming, فامنج
27115, Famish, جوّع
27116, Famished, مجوّع
27117, Famishes, يجوّع
27118, Famishing, التجويع
27119, Famous, مشهور
27120, Famously, بشكل مشهور
27121, Famousness, الشهرة
27122, Fan, النصير
27123, Fan-in, نصير في
27124, Fan-out, إنفتح
27125, Fanatic, المتعصّب
27126, Fanatical, متعصّب
27127, Fanatically, بتعصب
27128, Fanaticalness, التّعصّب
27129, Fanaticism, التعصّب
27130, Fanatics, المتعصّبون
27131, Fancied, محبّ
27132, Fancier, مربي الحيوانات
27133, Fanciers, مربو الحيوانات
27134, Fancies, يحبّ
27135, Fanciest, أكثر بهرجة
27136, Fanciful, خيالي
27137, Fancifully, وهميا
27138, Fancifulness, الخيال
27139, Fanciless, بلا فخامة
27140, Fancily, بابتكار
27141, Fanciness, الفخامة
27142, Fancy, الهوى
27143, Fancying, المحبّة
27144, Fanfare, الإستعراض الموسيقي العسكري
27145, Fanfares, التبويق
27146, Fang, الناب
27147, Fanged, بمخالب
27148, Fangled, جديد
27149, Fangs, الأنياب
27150, Fanned, مهوّى
27151, Fannies, الأرداف
27152, Fanning, التهوية
27153, Fanny, فاني
27154, Fans, الأنصار
27155, Fantasia, الفنتازيا
27156, Fantasias, الفنتازيا
27157, Fantasied, استغرق في الأحلام
27158, Fantasies, التخيلات
27159, Fantasise, تخيّل
27160, Fantasised, متخيّل
27161, Fantasises, يتخيّل
27162, Fantasising, التخيّل
27163, Fantasist, الحالم
27164, Fantasize, تخيّل
27165, Fantasized, متخيّل
27166, Fantasizer, المتخيّل
27167, Fantasizes, يتخيّل
27168, Fantasizing, التخيّل
27169, Fantastic, رائع
27170, Fantastical, خيالي
27171, Fantastically, بشكل خيالي
27172, Fantasticalness, الخياليةّ
27173, Fantasy, الخيال
27174, Fantod, الحركة بعصبية
27175, FAQs, الأسئلة المكرّرة
27176, Far, بعيدا
27177, Farad, الفاراد
27178, Faraday, فاراداي
27179, Farads, الفارادات
27180, Faraway, بعيد
27181, Farber, فاربر
27182, Farce, المهزلة
27183, Farces, المهازل
27184, Farcical, هزلي
27185, Farcically, بشكل هزلي
27186, Farcing, الحشوة
27187, Fare, الأجرة
27188, Fared, فريد
27189, Farer, فارير
27190, Fares, الأجور
27191, Farewell, الوداع
27192, Farewells, الوداع
27193, Farfetched, متكلّف
27194, Farfetchedness, اللامعقوليّة، الغير منطقيّة
27195, Fargo, فارجو
27196, Farina, فارينا
27197, Faring, العمل
27198, Farkas, فاركاس
27199, Farley, فارلي
27200, Farm, المزرعة
27201, Farmed, فالح
27202, Farmer, المزارع
27203, Farmers, المزارعون
27204, Farmhand, العامل
27205, Farmhouse, البيت الريفي
27206, Farmhouses, البيوت الريفية
27207, Farming, الزراعة
27208, Farmings, الزراعة
27209, Farmington, فارمنجتون
27210, Farmland, الأرض الزراعية
27211, Farmlands, الأراضي الزراعية
27212, Farms, المزارع
27213, Farmstead, المزرعة وتوابعها من مساكن
27214, Farmsteads, المزارع وتوابعها من مساكن
27215, Farmworker, عامل المزرعة
27216, Farmworkers, عمّال المزرعة
27217, Farmyard, الزريبة
27218, Farmyards, الزرائب
